date,media_buyer,region,team,ad_spend_usd,result_count,lead_count,platform,cost_per_lead,cost_per_result
2025-06-12,MY,IN,ZZ,1772.87,307.0,63.0,,28.14079365,28.14079365
2025-06-12,WD,奥地利,ZZ,328.51,6.0,3.0,,109.5033333,109.5033333
2025-06-12,LYD,奥地利,ZZ,557.75,1.0,1.0,,557.75,557.75
2025-06-12,ZJ,奥地利,ZZ,679.44,13.0,5.0,,135.888,135.888
2025-06-13,SG,IN,ZZ,4568.87,947.0,450.0,,10.15304444,10.15304444
2025-06-13,YJ,IN,ZZ,1987.8,486.0,136.0,,14.61617647,14.61617647
2025-06-13,MY,IN,ZZ,2773.75,564.0,210.0,,13.20833333,13.20833333
2025-06-13,HW,IN,ZZ,3154.03,512.0,183.0,,17.23513661,17.23513661
2025-06-13,HY,IN,ZZ,0.0,43.0,11.0,,0.0,0.0
2025-06-13,WD,奥地利,ZZ,303.22,3.0,0.0,,,
2025-06-13,WD,DE,ZZ,201.11,3.0,1.0,,201.11,201.11
2025-06-13,YK,奥地利,ZZ,471.14,12.0,3.0,,157.0466667,157.0466667
2025-06-13,YK,DE,ZZ,341.42,11.0,3.0,,113.8066667,113.8066667
2025-06-13,XW,奥地利,UNKNOWN,67.71,0.0,0.0,,,
2025-06-13,LYD,DE,ZZ,128.5,0.0,0.0,,,
2025-06-13,LYD,奥地利,ZZ,180.86,3.0,0.0,,,
2025-06-13,ZJ,奥地利,ZZ,196.11,5.0,1.0,,196.11,196.11
2025-06-13,ZJ,DE,ZZ,52.59,2.0,0.0,,,
2025-06-14,HY,西班牙,ZZ,174.56,4.0,0.0,,,
2025-06-14,HW,IN,ZZ,1894.45,229.0,89.0,,21.28595506,21.28595506
2025-06-14,YJ,西班牙,ZZ,200.43,11.0,0.0,,,
2025-06-14,SG,西班牙,ZZ,9.48,2.0,1.0,,9.48,9.48
2025-06-14,MY,IN,ZZ,3272.47,718.0,282.0,,11.60450355,11.60450355
2025-06-14,SG,IN,ZZ,0.0,4.0,4.0,,0.0,0.0
2025-06-14,WD,奥地利,ZZ,71.0,2.0,0.0,,,
2025-06-14,WD,DE,ZZ,86.73,2.0,0.0,,,
2025-06-14,LYD,DE,ZZ,218.71,5.0,0.0,,,
2025-06-14,YK,DE,ZZ,235.91,9.0,1.0,,235.91,235.91
2025-06-14,YK,奥地利,ZZ,221.43,6.0,1.0,,221.43,221.43
2025-06-15,SG,IN,ZZ,5152.04,1037.0,398.0,,12.94482412,12.94482412
2025-06-15,MY,IN,ZZ,20.56,0.0,6.0,,3.426666667,3.426666667
2025-06-15,YJ,IN,ZZ,3104.94,760.0,192.0,,16.1715625,16.1715625
2025-06-15,YK,DE,ZZ,274.22,15.0,1.0,,274.22,274.22
2025-06-15,HW,IN,ZZ,3584.27,729.0,311.0,,11.52498392,11.52498392
2025-06-15,WD,奥地利,ZZ,63.19,0.0,0.0,,,
2025-06-15,WD,DE,ZZ,53.36,1.0,1.0,,53.36,53.36
2025-06-15,LYD,DE,ZZ,210.67,6.0,0.0,,,
2025-06-15,YJ,西班牙,ZZ,18.42,1.0,0.0,,,
2025-06-15,SG,西班牙,ZZ,44.14,2.0,0.0,,,
2025-06-16,YJ,IN,ZZ,77.52,19.0,7.0,,11.07428571,11.07428571
2025-06-16,WD,DE,ZZ,170.76,1.0,0.0,,,
2025-06-16,HW,IN,ZZ,1794.9,326.0,157.0,,11.43248408,11.43248408
2025-06-16,SG,IN,ZZ,908.62,123.0,26.0,,34.94692308,34.94692308
2025-06-16,SG,西班牙,ZZ,67.76,2.0,0.0,,,
2025-06-16,MY,西班牙,ZZ,47.04,1.0,1.0,,47.04,47.04
2025-06-16,HY,西班牙,ZZ,60.94,2.0,0.0,,,
2025-06-16,YJ,西班牙,ZZ,69.51,4.0,0.0,,,
2025-06-16,WD,奥地利,ZZ,132.78,0.0,0.0,,,
2025-06-16,YK,奥地利,ZZ,486.62,15.0,0.0,,,
2025-06-16,LYD,DE,ZZ,242.61,4.0,0.0,,,
2025-06-16,ZJ,DE,ZZ,285.2,5.0,2.0,,142.6,142.6
2025-06-16,ZJ,奥地利,ZZ,94.99,3.0,0.0,,,
2025-06-17,HY,西班牙,ZZ,24.91,0.0,0.0,,,
2025-06-17,MY,西班牙,ZZ,24.74,0.0,0.0,,,
2025-06-17,YJ,IN,ZZ,3065.91,630.0,233.0,,13.15841202,13.15841202
2025-06-17,SG,IN,ZZ,4187.41,924.0,363.0,,11.53556474,11.53556474
2025-06-17,SG,西班牙,ZZ,87.66,5.0,0.0,,,
2025-06-17,HY,IN,ZZ,3613.51,873.0,315.0,,11.47146032,11.47146032
2025-06-17,YK,DE,ZZ,544.52,21.0,12.0,,45.37666667,45.37666667
2025-06-17,MY,IN,ZZ,1159.35,318.0,188.0,,6.166755319,6.166755319
2025-06-17,HW,IN,ZZ,2489.86,500.0,246.0,,10.12138211,10.12138211
2025-06-17,WD,DE,ZZ,170.75,3.0,2.0,,85.375,85.375
2025-06-17,LYD,DE,ZZ,282.49,8.0,0.0,,,
2025-06-17,ZJ,DE,ZZ,151.2,7.0,1.0,,151.2,151.2
2025-06-18,YK,DE,ZZ,323.12,9.0,1.0,,323.12,323.12
2025-06-18,WD,DE,ZZ,322.97,3.0,1.0,,322.97,322.97
2025-06-18,XC,西班牙,UNKNOWN,147.72,6.0,2.0,,73.86,73.86
2025-06-18,LYD,DE,ZZ,504.43,8.0,0.0,,,
2025-06-18,ZJ,DE,ZZ,445.67,14.0,2.0,,222.835,222.835
2025-06-19,HY,IN,ZZ,1701.95,441.0,98.0,,17.36683673,17.36683673
2025-06-19,MY,IN,ZZ,16.75,5.0,5.0,,3.35,3.35
2025-06-19,YJ,IN,ZZ,1853.03,335.0,89.0,,20.8205618,20.8205618
2025-06-19,HW,IN,ZZ,1575.42,220.0,103.0,,15.29533981,15.29533981
2025-06-19,SG,IN,ZZ,1877.84,413.0,191.0,,9.831623037,9.831623037
2025-06-19,WD,DE,ZZ,235.2,5.0,1.0,,235.2,235.2
