日期,地区,投手,账户名称/ID,账户种类,代理商,转点截图Today MAX,转点截图yesterday MAX,备注,手续费,实际消耗,"包含手续费
的消耗",开户费
2025-11-11 00:00:00,马来西亚,YK,NHT-CAXU-VND-1110-13  219193647481793,越南盾,海总-黑泽,4.88776,,,0.443808608,4.88776,5.331568608,
2025-11-11 00:00:00,马来西亚,YK,DZYS-TH-yumao-3  1118258773443175,二不限,二不限企业户服务费2%+0.5%,85.3,,,2.1325,85.3,87.4325,
2025-11-11 00:00:00,印尼,JK,BRGUSD-170099-0800802(GMT+5:30) 1146001080110771,美金户,泰华&启航,24492.7,24444.08,,5.402222222,48.62,54.02222222,
2025-11-12 00:00:00,印尼,MM,LTK-3103-USD(+7)-81  810733641507127,美金户,路人互动-海总（50-7）山治,1.41,,,0.0987,1.41,1.5087,
2025-11-12 00:00:00,瑞典,MM,BR-USD-170058-080802-(GMT+5:30)  410770464710264,美金户,泰华&启航,,1421.07,历史消耗,,,,
2025-11-12 00:00:00,瑞典,LM,Tencent IS Pte.Ltd +8 -089  270468399386879,美金户,B哥-fb三不限10➕1,359.76,344.22,,1.7094,15.54,17.2494,
2025-11-12 00:00:00,瑞典,LM,GOGO-ZDD-ADA+7-GX-679  1431217654647972,GO欧洲金融户,海总&志诚三不限,7.75,,,0.775,7.75,8.525,
2025-11-12 00:00:00,瑞典,MM,BON-XANY-VND-0801-18  1430146614837022,越南盾,海总-黑泽,450.83332,285.84056,,14.98134261,164.99276,179.9741026,
2025-11-12 00:00:00,瑞典,MM,RED-YQ-030 818062180789978,越南美金户,Y-5208 FB欧/美户,15.22,,,1.6742,15.22,16.8942,
2025-11-12 00:00:00,新加坡,YK,Matepro-ADA+8-QQB-220  999994072267728,books加白户,海总&志诚三不限,4.41,,,0.3087,4.41,4.7187,
2025-11-12 00:00:00,瑞典,LD,SP-A7907-USD(+7)-005  679957838468653,美金户,路人互动-海总（50-7）山治,300.94,290.92,,0.7014,10.02,10.7214,
2025-11-12 00:00:00,瑞典,LD,ES4.136 - Mark 829244  1224995106099741,美金户,GT&海总 欧洲金融户９＋１,145.25,69.87,,7.538,75.38,82.918,
2025-11-12 00:00:00,瑞典,LD,GOGO-ZDD-ADA+7-GX-678  1361811365306011,GO欧洲金融户,海总&志诚三不限,2.88,,,0.288,2.88,3.168,
2025-11-12 00:00:00,瑞典,JK,Tencent IS Pte.Ltd +8 -088  377081334931199,美金户,B哥-fb三不限10➕1,632.39,328.4,,33.4389,303.99,337.4289,
2025-11-12 00:00:00,印尼,MM,RED-YQ-030 818062180789978,越南美金户,Y-5208 FB欧/美户,12.94,,,1.4234,12.94,14.3634,
2025-11-12 00:00:00,瑞典,LD, LTK-8239-USD(+7)-155  2035803437160939 ,美金户,路人互动-海总（50-7）山治,,7.32,历史消耗,,,,
2025-11-13 00:00:00,瑞典,YJ,BON-XANY-USD-1022-04  6542495162497029,美金户,海总-黑泽,,183.67,历史消耗,,,,
2025-11-13 00:00:00,瑞典,MM,BON-XANY-VND-0801-18  1430146614837022,越南盾,海总-黑泽,627.14928,450.83332,,16.00948917,176.31596,192.3254492,
2025-11-13 00:00:00,瑞典,MM,RED-YQ-030 818062180789978,越南美金户,Y-5208 FB欧/美户,62.19,,,6.8409,62.19,69.0309,
2025-11-13 00:00:00,瑞典,MM,BR-USD-170058-080802-(GMT+5:30)  410770464710264,美金户,泰华&启航,1508.08,1421.07,,9.667777778,87.01,96.67777778,
2025-11-13 00:00:00,瑞典,LD,ES4.136 - Mark 829244  1224995106099741,美金户,GT&海总 欧洲金融户９＋１,269.18,145.25,,12.393,123.93,136.323,
2025-11-13 00:00:00,瑞典,LM,Tencent IS Pte.Ltd +8 -089  270468399386879,美金户,B哥-fb三不限10➕1,425.43,359.76,,7.2237,65.67,72.8937,
2025-11-13 00:00:00,瑞典,LM,GOGO-ZDD-ADA+7-GX-679  1431217654647972,GO欧洲金融户,海总&志诚三不限,49.36,7.75,,4.161,41.61,45.771,
2025-11-13 00:00:00,瑞典,LM,NHT-CAXU-VND-1021-09  968898984458092,越南盾,海总-黑泽,25.662,,,2.3301096,25.662,27.9921096,
2025-11-11 00:00:00,印尼,JK,BRGUSD-170099-0800802(GMT+5:30) 1146001080110771,美金户,泰华&启航,24494.26,24492.7,,0.1733333333,1.56,1.733333333,
2025-11-14 00:00:00,瑞典,HY,KMSL-TH-wofei-5  1479123393168856,二不限,二不限企业户服务费2%+0.5%,300.01,,,7.50025,300.01,307.51025,
2025-11-14 00:00:00,瑞典,YJ,FBQT - Xin Zaohe 1  24809565795372459,额度户,凤凰&洛阳,9.08,,,1.362,9.08,10.442,
2025-11-14 00:00:00,瑞典,LD,ES4.136 - Mark 829244  1224995106099741,美金户,GT&海总 欧洲金融户９＋１,338.63,269.18,,6.945,69.45,76.395,
2025-11-14 00:00:00,瑞典,LD, LTK-8239-USD(+7)-155  2035803437160939 ,美金户,路人互动-海总（50-7）山治,65.85,7.32,,4.0971,58.53,62.6271,
2025-11-14 00:00:00,瑞典,JK,Matepro-ADA+7-QQB-198  803924115464963,印尼美金户,海总&志诚三不限,3.26,,,0.2282,3.26,3.4882,
2025-11-14 00:00:00,瑞典,LM,Tencent IS Pte.Ltd +8 -089  270468399386879,美金户,B哥-fb三不限10➕1,482.96,425.43,,6.3283,57.53,63.8583,
2025-11-14 00:00:00,瑞典,LM,GOGO-ZDD-ADA+7-GX-679  1431217654647972,GO欧洲金融户,海总&志诚三不限,94.61,49.36,,4.525,45.25,49.775,
2025-11-14 00:00:00,瑞典,LM,NHT-CAXU-VND-1021-09  968898984458092,越南盾,海总-黑泽,98.05188,25.662,,6.573001104,72.38988,78.9628811,
2025-11-14 00:00:00,瑞典,LM,LYUS-523  815837277714994,美金户,凤凰&洛阳,10.4,,,1.144,10.4,11.544,
2025-11-15 00:00:00,瑞典,LD,ES4.136 - Mark 829244  1224995106099741,美金户,GT&海总 欧洲金融户９＋１,366.04,338.63,,2.741,27.41,30.151,
